Open time	Open	High	Low	Close	Volume
2025-02-07 23:00:00	0.7434	0.7527	0.7391	0.7466	54895680.0
2025-02-08 00:00:00	0.7466	0.7468	0.7229	0.7306	73374030.0
2025-02-08 01:00:00	0.7307	0.7346	0.7219	0.7251	39353809.0
2025-02-08 02:00:00	0.7252	0.7277	0.7149	0.7185	35058040.0
2025-02-08 03:00:00	0.7185	0.7308	0.7172	0.7246	19171436.0
2025-02-08 04:00:00	0.7246	0.7253	0.714	0.7144	18376214.0
2025-02-08 05:00:00	0.7144	0.7156	0.6942	0.6964	70443606.0
2025-02-08 06:00:00	0.6965	0.7059	0.696	0.6986	28679501.0
2025-02-08 07:00:00	0.6987	0.6989	0.6897	0.6965	31785120.0
2025-02-08 08:00:00	0.6966	0.7074	0.6947	0.7066	17463180.0
2025-02-08 09:00:00	0.7067	0.7164	0.7044	0.7123	22436574.0
2025-02-08 10:00:00	0.7122	0.7124	0.702	0.703	16336042.0
2025-02-08 11:00:00	0.703	0.705	0.6981	0.7027	15092658.0
2025-02-08 12:00:00	0.7027	0.7073	0.6982	0.7005	15163356.0
2025-02-08 13:00:00	0.7005	0.7015	0.694	0.6953	14293683.0
2025-02-08 14:00:00	0.6953	0.696	0.6901	0.6933	14503069.0
2025-02-08 15:00:00	0.6932	0.6981	0.6912	0.6939	14067980.0
2025-02-08 16:00:00	0.6939	0.703	0.6868	0.6988	25955000.0
2025-02-08 17:00:00	0.6988	0.701	0.6901	0.6901	14172473.0
2025-02-08 18:00:00	0.6902	0.6962	0.6901	0.6928	14481237.0
2025-02-08 19:00:00	0.6928	0.6954	0.6859	0.689	19028461.0
2025-02-08 20:00:00	0.6889	0.6919	0.6841	0.6905	17935947.0
2025-02-08 21:00:00	0.6905	0.6931	0.6849	0.6891	14959994.0
2025-02-08 22:00:00	0.6892	0.6997	0.6885	0.6943	22281055.0
2025-02-08 23:00:00	0.6943	0.6953	0.6858	0.6923	24782708.0
2025-02-09 00:00:00	0.6924	0.6971	0.6847	0.6886	20768855.0
2025-02-09 01:00:00	0.6886	0.6935	0.6811	0.6922	22367731.0
2025-02-09 02:00:00	0.6922	0.7013	0.692	0.6989	29577732.0
2025-02-09 03:00:00	0.699	0.7043	0.6936	0.6989	20080581.0
